Date;Flow pressure current;External potentiometer preset in %;Error pending: Filter 1 80%;Webserver control active;Error pending: Filter 1 minimal pressure not reached;Flow pressure setpoint in Pa;Filter 3 operation hours;Maintanence hours;Error pending: Filter 2 80%;Temperature;Filter 1 in %;Potentiometer in %;Blower operation hours;Error pending: Filter 1 100%;Filter 2 operation hours;Error pending: Unit not running;Error pending: Maximum cleaning cycles reached;Error pending: Filter 2 minimal pressure not reached;Filter 1 pressure;Motor power in %;Operating hours;Operation mode;Filter 1 operation hours;Filter 2 pressure;Error pending: Filter 1 operation time exceeded;Device state;Error pending: Blower operation time exceeded;Error pending: Filter 2 operation time exceeded;Remote control active?;Filter 2 in %;Error pending: Device temperature to high;Error pending: Filter 3 operation time exceeded;Error pending: Filter 2 100%
2019-07-16T18:00:00;33.7507;19.8049;31.6721;1;0;906.501;929.485;2663.48;69.7398;;2120.72;16.2835;3.60163;3.60163;3.60163;3.60163;3.60163;3.60163;1;;1;1;1;1;1;1;1;1;1;1;1;1;1
2019-07-16T18:15:00;52.8133;46.2056;40.8378;1;0;940.929;843.049;2379.53;25.7611;;2039.87;20.0836;14.1667;14.1667;14.1667;14.1667;14.1667;14.1667;1;;1;1;1;1;1;1;1;1;1;1;1;1;1
2019-07-16T18:30:00;44.4444;80.8833;42.5289;1;0;670.366;866.709;3150.26;61.66;;2613.07;9.80722;29.1667;29.1667;29.1667;29.1667;29.1667;29.1667;1;;1;1;1;1;1;1;1;1;1;1;1;1;1
2019-07-16T21:30:00;73.3006;51.8118;83.1882;1;0;86.382;1187.04;3988.1;37.3287;;3662.22;10.157;39.6292;39.6292;39.6292;39.6292;39.6292;39.6292;1;;1;1;1;1;1;1;1;1;1;1;1;1;1
2019-07-17T12:30:00;98;41.875;97.125;1;0;116.375;1427.75;4404;31;;3980.38;14.1875;223;223;223;223;223;223;1;;1;1;1;1;1;1;1;1;1;1;1;1;1
2019-07-17T12:45:00;72.6455;48.0582;70.3968;1;0;116.169;1475.52;3653.46;12.9894;;3583.48;18.2;1130.13;1130.13;1130.13;1130.13;1130.13;1130.13;1;;1;1;1;1;1;1;1;1;1;1;1;1;1
2019-07-17T13:00:00;44.9811;39.08;74.8122;1;0;163.204;1638.53;3745.63;48.5089;;3694.39;35.398;1139.18;1139.18;1139.18;1139.18;1139.18;1139.18;1;;1;1;1;1;1;1;1;1;1;1;1;1;1
2019-07-22T18:45:00;26.8462;18.6547;23.3524;1;0;951.392;917.25;2617.83;73.5707;;2225.65;20.3723;5.18605;5.18605;5.18605;5.18605;5.18605;5.18605;1;;1;1;1;1;1;1;1;1;1;1;1;1;1
2019-07-22T19:00:00;26.2289;21.2456;33.5867;1;0;524.208;1138.45;2649.24;90.0322;;3073.56;39.7896;17.3333;17.3333;17.3333;17.3333;17.3333;17.3333;1;;1;1;1;1;1;1;1;1;1;1;1;1;1
2019-07-22T21:45:00;48.402;57.1345;82.0601;1;0;136.88;561.471;2968.83;83.01;;3524.93;57.2126;30.6495;30.6495;30.6495;30.6495;30.6495;30.6495;1;;1;1;1;1;1;1;1;1;1;1;1;1;1
2019-07-22T22:00:00;71.9544;23.6408;22.3646;1;0;228.206;730.402;3173.78;74.7534;;4287.21;39.9635;201.847;201.847;201.847;201.847;201.847;201.847;1;;1;1;1;1;1;1;1;1;1;1;1;1;1
2019-07-22T22:15:00;81.7172;77.6667;44.9531;1;0;169.89;1099.5;3700.84;67.7605;;4230.61;59.5892;211.874;211.874;211.874;211.874;211.874;211.874;1;;1;1;1;1;1;1;1;1;1;1;1;1;1
